0.030, 4.18, -0.43, 10.77, 0.24, 0.08, -0.16, -9.33, -4.10, -0.25, 0.30, -0.02, -0.01, -9.55, -0.42, 3.62, 0.16, -0.06, 0.02
0.064, 4.22, -0.63, 10.45, 0.26, 0.05, -0.18, -8.84, -4.19, -0.50, 0.31, -0.03, -0.03, -9.04, -0.68, 3.72, 0.18, -0.08, 0.02
0.098, 4.38, -0.86, 9.95, 0.20, 0.08, -0.22, -8.42, -4.35, -0.69, 0.36, 0.04, -0.00, -8.66, -0.84, 3.88, 0.24, -0.04, -0.04
0.132, 4.37, -0.23, 10.44, 0.19, 0.09, -0.24, -8.86, -4.31, -0.13, 0.37, 0.05, 0.00, -9.28, -0.30, 3.84, 0.24, -0.04, -0.08
0.182, 4.24, -1.09, 10.63, 0.11, -0.00, -0.23, -9.04, -4.26, -0.98, 0.38, 0.11, -0.10, -9.15, -1.39, 3.76, 0.26, -0.15, -0.10
0.203, 4.59, -1.90, 9.14, 0.08, -0.05, -0.37, -7.45, -4.64, -1.75, 0.52, 0.17, -0.13, -7.68, -1.97, 4.13, 0.41, -0.17, -0.18
0.234, 4.64, -1.18, 9.65, -0.09, -0.02, -0.48, -8.09, -4.62, -0.98, 0.62, 0.34, -0.11, -8.43, -1.22, 4.15, 0.51, -0.15, -0.34
0.268, 4.41, -1.44, 9.57, -0.20, -0.08, -0.56, -7.97, -4.42, -1.29, 0.71, 0.45, -0.17, -8.25, -1.52, 3.88, 0.61, -0.22, -0.46
0.302, 4.17, -1.62, 8.53, -0.39, -0.09, -0.68, -6.75, -4.09, -1.70, 0.83, 0.67, -0.17, -7.05, -2.08, 3.57, 0.74, -0.19, -0.70
0.336, 3.72, -3.04, 7.20, -0.67, 0.05, -0.92, -5.60, -3.72, -2.72, 1.08, 0.90, -0.01, -5.35, -2.95, 3.12, 1.03, -0.01, -0.84
0.370, 3.49, -1.81, 5.55, -0.32, 0.44, -1.19, -4.20, -3.31, -1.30, 1.32, 0.55, 0.38, -4.03, -1.39, 2.89, 1.25, 0.39, -0.47
0.403, 3.10, -0.55, 5.49, -0.18, 0.91, -1.25, -4.06, -2.80, -0.35, 1.37, 0.44, 0.86, -4.22, -0.50, 2.43, 1.29, 0.87, -0.39
0.438, 3.08, 0.55, 7.56, -0.04, 1.32, -1.21, -6.56, -2.88, 1.15, 1.31, 0.27, 1.24, -6.76, 1.33, 2.61, 1.21, 1.23, -0.14
0.472, 3.06, 2.07, 10.63, 0.18, 1.36, -0.92, -9.25, -2.89, 2.05, 1.00, 0.09, 1.26, -9.75, 1.90, 2.58, 0.88, 1.21, -0.02
0.505, 2.69, 0.81, 13.09, 0.33, 1.07, -0.73, -11.65, -2.75, 1.02, 0.83, -0.10, 0.95, -11.88, 0.89, 2.24, 0.72, 0.87, 0.16
0.540, 2.61, 1.36, 10.78, 0.47, 0.78, -0.63, -9.16, -2.46, 1.70, 0.74, -0.24, 0.70, -9.01, 1.70, 2.06, 0.61, 0.66, 0.29
0.574, 2.31, 2.84, 10.34, 0.64, 0.87, -0.42, -8.96, -2.04, 3.05, 0.51, -0.42, 0.80, -9.05, 2.99, 1.73, 0.36, 0.76, 0.46
0.607, 1.92, 1.74, 10.68, 0.61, 0.95, -0.19, -9.14, -1.72, 1.68, 0.30, -0.36, 0.87, -9.38, 1.45, 1.24, 0.16, 0.84, 0.37
0.663, 1.80, 1.53, 10.98, 0.60, 1.00, -0.17, -9.53, -1.65, 1.92, 0.29, -0.36, 0.92, -9.69, 2.05, 1.19, 0.15, 0.89, 0.38
0.680, 1.53, 3.16, 12.16, 0.58, 1.00, 0.02, -10.75, -1.30, 3.24, 0.07, -0.35, 0.91, -10.88, 3.12, 0.97, -0.08, 0.88, 0.37
0.710, 1.32, 1.91, 12.70, 0.54, 0.93, 0.19, -11.06, -1.22, 1.92, -0.07, -0.30, 0.83, -11.23, 1.82, 0.67, -0.21, 0.79, 0.29
0.744, 0.96, 1.74, 12.45, 0.45, 0.88, 0.26, -11.19, -0.81, 2.04, -0.14, -0.24, 0.79, -11.26, 2.04, 0.29, -0.28, 0.76, 0.27
0.778, 0.79, 2.30, 13.70, 0.62, 0.80, 0.37, -12.33, -0.68, 2.45, -0.26, -0.40, 0.69, -12.59, 2.51, 0.16, -0.41, 0.64, 0.39
0.812, 0.52, 2.28, 13.29, 0.63, 0.56, 0.51, -11.54, -0.41, 2.25, -0.39, -0.39, 0.46, -11.59, 2.12, -0.15, -0.54, 0.41, 0.36
0.846, 0.19, 1.19, 12.28, 0.28, 0.45, 0.50, -10.62, -0.15, 1.45, -0.35, -0.05, 0.35, -10.60, 1.56, -0.43, -0.49, 0.32, 0.02
0.880, 0.06, 3.40, 10.00, 0.28, 0.50, 0.57, -8.47, 0.28, 3.67, -0.45, -0.06, 0.44, -8.20, 3.72, -0.61, -0.61, 0.43, 0.05
0.913, -0.11, 2.54, 9.32, 0.33, 0.78, 0.79, -7.99, 0.36, 2.49, -0.67, -0.11, 0.72, -7.90, 2.31, -0.78, -0.81, 0.72, 0.10
0.948, -0.24, 1.87, 10.17, 0.26, 0.98, 0.81, -8.71, 0.39, 2.08, -0.67, -0.02, 0.89, -8.68, 2.12, -0.87, -0.81, 0.88, -0.00
0.982, -0.44, 4.26, 10.11, 0.20, 1.09, 0.90, -9.00, 0.84, 4.78, -0.81, 0.01, 1.01, -8.87, 4.99, -1.12, -0.97, 1.00, 0.00
1.015, -1.26, 5.01, 11.03, 0.44, 1.15, 1.30, -9.84, 1.71, 5.20, -1.22, -0.26, 1.06, -9.35, 5.29, -2.07, -1.41, 1.06, 0.28
1.050, -2.26, 5.77, 11.63, 0.90, 1.31, 1.73, -10.86, 2.93, 6.17, -1.66, -0.76, 1.23, -10.52, 6.59, -3.30, -1.89, 1.23, 0.78
1.084, -3.44, 5.52, 14.07, 1.47, 1.37, 2.28, -13.22, 3.87, 5.29, -2.20, -1.31, 1.27, -13.26, 5.41, -4.47, -2.44, 1.24, 1.29
1.117, -4.45, 2.92, 17.10, 1.63, 1.13, 2.57, -15.85, 4.42, 2.30, -2.43, -1.44, 1.00, -16.17, 2.29, -5.37, -2.65, 0.93, 1.35
1.152, -4.67, 0.75, 19.45, 1.49, 0.59, 2.46, -18.03, 4.36, 0.35, -2.28, -1.27, 0.43, -18.72, 0.50, -5.48, -2.48, 0.32, 1.14
1.186, -4.47, 1.03, 21.82, 1.28, -0.28, 2.24, -20.05, 4.14, 0.91, -2.06, -1.09, -0.47, -20.31, 1.18, -5.25, -2.27, -0.61, 0.96
1.220, -3.88, 1.03, 20.72, 1.13, -1.18, 2.11, -19.07, 3.67, 1.00, -1.92, -0.97, -1.36, -19.32, 1.24, -4.70, -2.15, -1.49, 0.83
1.255, -3.69, -0.67, 18.05, 1.15, -1.98, 1.96, -15.91, 3.43, -0.97, -1.75, -0.98, -2.10, -15.77, -1.20, -4.47, -1.97, -2.22, 0.81
1.289, -2.69, -2.93, 14.08, 0.66, -2.33, 1.48, -11.98, 2.22, -3.08, -1.23, -0.43, -2.42, -12.16, -3.14, -3.20, -1.40, -2.50, 0.22
1.322, -1.47, -0.78, 12.90, 0.29, -2.48, 1.00, -11.37, 1.26, -0.58, -0.79, -0.11, -2.56, -11.23, -0.53, -2.01, -0.96, -2.65, -0.01
1.368, -0.33, -1.08, 9.32, 0.37, -2.53, 0.76, -7.55, 0.33, -1.04, -0.55, -0.18, -2.58, -7.16, -1.45, -0.88, -0.72, -2.63, 0.03
