0.008, 1.06, 10.04, 1.42, 0.12, 0.09, -0.09, -0.03, -0.83, 10.51, 0.22, 0.11, 0.01, 0.09, 10.12, 1.03, 0.09, -0.03, -0.12
0.042, 1.19, 10.69, 1.24, 0.09, 0.17, -0.07, 0.15, -0.93, 11.15, 0.20, 0.15, 0.09, 0.16, 10.78, 1.17, 0.06, 0.06, -0.17
0.096, 1.28, 11.13, 1.54, -0.02, 0.22, 0.01, -0.13, -1.06, 11.59, 0.11, 0.25, 0.14, 0.04, 11.16, 1.35, -0.02, 0.11, -0.25
0.113, 1.63, 11.26, 0.65, 0.08, 0.31, 0.09, 0.84, -1.34, 11.66, 0.04, 0.15, 0.24, 1.03, 11.23, 1.66, -0.09, 0.22, -0.17
0.144, 1.91, 11.43, 0.57, -0.13, 0.52, 0.16, 0.79, -1.61, 11.84, -0.03, 0.38, 0.45, 0.69, 11.44, 1.87, -0.15, 0.44, -0.40
0.179, 2.16, 12.17, 1.97, -0.24, 0.61, 0.26, -0.66, -1.85, 12.54, -0.14, 0.49, 0.52, -0.88, 12.20, 2.13, -0.26, 0.50, -0.52
0.212, 2.32, 12.27, 2.83, -0.34, 0.56, 0.42, -1.41, -2.08, 12.56, -0.30, 0.59, 0.46, -1.49, 12.08, 2.35, -0.43, 0.44, -0.61
0.246, 2.38, 11.22, 3.48, -0.45, 0.47, 0.52, -2.05, -2.18, 11.56, -0.38, 0.70, 0.36, -2.10, 11.17, 2.35, -0.49, 0.34, -0.73
0.280, 2.46, 11.88, 3.76, -0.51, 0.39, 0.59, -2.38, -2.20, 12.18, -0.47, 0.76, 0.29, -2.39, 11.72, 2.43, -0.59, 0.27, -0.78
0.314, 2.88, 9.11, 3.30, -0.61, 0.40, 0.63, -1.67, -2.81, 9.06, -0.47, 0.88, 0.31, -1.81, 8.36, 2.86, -0.56, 0.32, -0.94
0.348, 2.95, 8.54, 5.12, -0.67, 0.47, 0.51, -4.09, -2.89, 8.88, -0.37, 0.88, 0.36, -4.20, 8.38, 2.89, -0.47, 0.33, -0.86
0.382, 2.91, 7.20, 6.33, -0.40, 0.19, 0.41, -5.05, -2.91, 7.66, -0.24, 0.60, 0.06, -5.08, 7.26, 2.71, -0.35, 0.01, -0.59
0.417, 2.17, 8.44, 6.13, -0.32, -0.16, 0.23, -4.31, -2.11, 8.76, -0.07, 0.60, -0.28, -4.51, 8.54, 2.01, -0.19, -0.34, -0.67
0.450, 2.00, 9.45, 3.90, -0.56, -0.35, 0.25, -2.41, -1.74, 9.80, -0.11, 0.77, -0.43, -2.06, 9.33, 1.87, -0.24, -0.46, -0.79
0.484, 2.84, 8.09, 2.38, -0.23, -0.17, 0.19, -1.70, -2.64, 9.06, -0.02, 0.34, -0.23, -1.19, 8.67, 2.59, -0.15, -0.24, -0.26
0.518, 2.22, 8.84, 4.41, 0.47, -0.07, 0.09, -2.84, -2.01, 9.14, 0.06, -0.22, -0.16, -3.01, 8.80, 1.96, -0.09, -0.21, 0.17
0.552, 1.76, 8.17, 4.15, 0.20, -0.11, 0.03, -2.86, -1.65, 8.56, 0.13, -0.00, -0.19, -2.73, 8.07, 1.59, -0.00, -0.23, 0.01
0.586, 1.63, 8.28, 4.48, 0.51, -0.15, -0.13, -3.24, -1.47, 8.94, 0.28, -0.34, -0.24, -3.00, 8.60, 1.41, 0.14, -0.30, 0.36
0.621, 1.31, 10.13, 3.28, 0.50, -0.22, -0.11, -1.74, -0.96, 10.73, 0.24, -0.27, -0.30, -1.55, 10.61, 1.18, 0.07, -0.35, 0.25
0.655, 1.13, 10.99, 3.52, 0.31, -0.16, 0.16, -1.88, -0.68, 10.86, -0.05, 0.01, -0.24, -2.09, 10.52, 0.93, -0.21, -0.29, -0.07
0.688, 1.50, 9.59, 3.10, 0.11, -0.19, 0.32, -1.55, -1.24, 9.78, -0.18, 0.11, -0.27, -1.35, 9.28, 1.40, -0.33, -0.30, -0.14
0.722, 2.19, 7.59, 3.04, -0.08, -0.05, 0.27, -1.97, -2.05, 7.85, -0.11, 0.27, -0.12, -1.94, 7.34, 2.04, -0.23, -0.15, -0.27
0.757, 2.20, 6.87, 4.86, 0.31, -0.06, 0.10, -3.54, -2.13, 7.25, 0.06, -0.11, -0.16, -3.62, 6.81, 2.06, -0.07, -0.21, 0.10
0.796, 1.89, 7.69, 5.50, 0.22, -0.21, -0.03, -4.01, -1.69, 8.11, 0.17, 0.02, -0.31, -4.33, 8.01, 1.63, 0.02, -0.37, -0.07
0.825, 1.53, 8.09, 7.12, 0.19, -0.50, 0.06, -6.12, -1.47, 8.70, 0.08, -0.05, -0.62, -5.91, 8.34, 1.34, -0.07, -0.72, 0.11
0.858, 1.06, 6.90, 5.75, 1.02, -0.96, 0.04, -3.97, -1.07, 7.13, 0.12, -0.85, -1.06, -3.55, 6.55, 0.98, -0.05, -1.16, 0.81
0.892, 1.46, 7.19, 1.58, 0.89, -0.95, -0.14, 0.06, -1.28, 7.71, 0.31, -0.67, -0.99, 0.40, 7.48, 1.37, 0.14, -1.03, 0.63
0.927, 1.59, 8.21, 1.14, 1.12, -0.64, -0.15, 0.20, -1.29, 8.46, 0.29, -0.92, -0.69, 0.25, 7.99, 1.43, 0.11, -0.74, 0.88
0.960, 1.79, 6.65, 1.05, 1.12, -0.44, -0.20, 0.32, -1.60, 6.90, 0.36, -0.91, -0.49, 0.33, 6.28, 1.60, 0.20, -0.54, 0.89
0.995, 1.65, 6.95, 1.85, 1.18, -0.31, -0.43, -0.49, -1.58, 7.39, 0.58, -0.97, -0.38, -0.55, 7.04, 1.62, 0.42, -0.45, 0.96
1.028, 2.41, 8.33, 0.94, 0.99, -0.34, -0.51, 0.74, -2.26, 8.68, 0.65, -0.75, -0.41, 0.79, 8.33, 2.52, 0.48, -0.47, 0.71
1.062, 3.06, 8.90, 0.59, 0.70, -0.17, -0.47, 0.78, -2.80, 9.21, 0.60, -0.47, -0.23, 0.55, 8.65, 3.00, 0.45, -0.27, 0.44
1.097, 3.52, 8.16, 2.25, 0.52, -0.07, -0.56, -0.92, -3.50, 8.56, 0.71, -0.29, -0.15, -1.16, 8.13, 3.61, 0.60, -0.21, 0.28
1.131, 3.99, 10.54, 3.58, 0.47, -0.17, -0.71, -2.20, -3.81, 11.22, 0.84, -0.24, -0.26, -2.40, 11.17, 4.03, 0.69, -0.34, 0.24
1.164, 4.35, 12.77, 3.90, 0.36, -0.39, -0.52, -2.34, -4.13, 13.16, 0.64, -0.12, -0.48, -2.46, 12.83, 4.48, 0.47, -0.57, 0.09
1.199, 4.51, 13.15, 2.57, 0.24, -0.60, -0.30, -1.11, -4.28, 13.69, 0.43, -0.03, -0.69, -0.90, 13.32, 4.62, 0.27, -0.76, 0.02
1.232, 4.00, 14.69, 0.73, 0.37, -0.67, -0.14, 0.75, -3.52, 15.48, 0.27, -0.16, -0.75, 1.09, 15.31, 3.89, 0.09, -0.80, 0.13
1.266, 3.39, 17.42, -0.96, 0.47, -0.56, 0.22, 2.12, -2.67, 18.23, -0.11, -0.30, -0.62, 2.58, 17.88, 3.36, -0.34, -0.65, 0.29
1.300, 2.59, 16.76, -1.19, 0.45, -0.42, 0.79, 2.53, -1.98, 17.03, -0.68, -0.24, -0.50, 2.61, 16.38, 2.56, -0.90, -0.53, 0.17
1.335, 1.74, 15.02, -1.71, 0.52, -0.37, 1.19, 3.23, -1.24, 15.36, -1.07, -0.31, -0.45, 3.59, 14.85, 1.78, -1.29, -0.48, 0.23
1.368, 1.35, 12.88, -4.05, 0.56, -0.16, 1.56, 5.56, -0.80, 12.95, -1.43, -0.36, -0.21, 5.94, 12.15, 1.29, -1.64, -0.20, 0.26
1.402, 0.95, 9.54, -4.65, 0.39, 0.29, 1.75, 6.12, -0.51, 9.28, -1.60, -0.14, 0.24, 6.01, 8.24, 0.90, -1.77, 0.27, 0.01
1.436, 1.23, 5.81, -3.77, -0.01, 0.68, 1.61, 4.88, -1.11, 6.07, -1.45, 0.21, 0.62, 4.97, 5.38, 1.20, -1.56, 0.65, -0.24
1.469, 1.31, 3.54, -2.30, 0.17, 0.97, 1.31, 3.53, -1.30, 3.80, -1.13, 0.04, 0.90, 3.67, 3.14, 1.20, -1.23, 0.91, -0.04
1.504, 1.66, 2.93, -3.13, 0.33, 1.24, 0.87, 4.67, -1.58, 3.21, -0.71, -0.09, 1.19, 4.84, 2.58, 1.53, -0.80, 1.23, 0.06
1.538, 1.92, 2.79, -2.52, 0.06, 1.76, 0.46, 3.58, -1.80, 3.25, -0.31, 0.19, 1.71, 3.45, 2.75, 1.72, -0.38, 1.75, -0.16
1.572, 1.87, 2.84, 1.36, 0.22, 2.08, 0.12, -0.47, -1.79, 3.42, 0.02, 0.00, 1.98, -0.70, 3.01, 1.50, -0.05, 1.97, 0.08
1.606, 1.79, 2.83, 2.62, 0.29, 2.02, -0.21, -0.89, -1.88, 3.18, 0.35, -0.01, 1.93, -0.95, 2.78, 1.71, 0.28, 1.92, 0.04
